propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.12,0.34,3,static,0.11996,0.42081,0.0030966,0.40549,0.058985,0.0101,52.654,9.1528,0.1245,0.35893,22
0.12,0.35,3,static,0.12031,0.41681,0.0030754,0.3986,0.048669,0.007,51.038,8.7851,0.1018,0.32849,22
0.12,0.36,3,static,0.11947,0.41168,0.0027105,0.38935,0.036241,0.0037,48.918,8.3286,0.075,0.28659,21
0.12,0.37,3,static,0.11974,0.40671,0.003036,0.37996,0.031347,0.0029,47.186,7.9226,0.0646,0.24757,20
0.12,0.38,3,static,0.12066,0.40356,0.0030746,0.37382,0.027883,0.0018,46.26,7.6756,0.0573,0.22501,20
0.12,0.39,3,static,0.11974,0.39773,0.0027881,0.36328,0.02193,0.0016,44.283,7.2526,0.0448,0.18577,19
0.12,0.4,3,static,0.12057,0.39277,0.0030025,0.35245,0.017357,0.001,42.756,6.8555,0.0353,0.15931,19
0.12,0.41,3,static,0.12038,0.38866,0.0031765,0.34413,0.015414,0.0006,41.567,6.5709,0.0313,0.13612,18
0.12,0.42,3,static,0.11933,0.38289,0.0028651,0.33288,0.01108,0.0005,39.913,6.2004,0.0224,0.10991,18
0.12,0.43,3,static,0.12015,0.37859,0.0032071,0.32306,0.0087741,0.0004,38.845,5.8985,0.0177,0.09369,18
0.12,0.44,3,static,0.12049,0.37404,0.0031733,0.31368,0.0069034,0.0003,37.766,5.6238,0.0139,0.077278,17
0.12,0.45,3,static,0.11999,0.36859,0.0031043,0.30218,0.0053715,0.0002,36.419,5.3045,0.0108,0.062966,17
0.12,0.46,3,static,0.12012,0.36267,0.0027127,0.28995,0.0028916,0,35.014,4.9755,0.0058,0.047064,17
0.12,0.47,3,static,0.11994,0.35781,0.0028197,0.27926,0.002643,0,34.023,4.7114,0.0053,0.038697,17
0.12,0.48,3,static,0.12045,0.35202,0.0027502,0.26586,0.001996,0,32.826,4.3879,0.004,0.026846,16
0.12,0.49,3,static,0.11963,0.34616,0.002987,0.25476,0.0020458,0,31.697,4.1373,0.0041,0.022105,16
0.12,0.5,3,static,0.1198,0.34104,0.0028058,0.24377,0.0014978,0,30.705,3.8939,0.003,0.016425,16
0.12,0.51,3,static,0.11991,0.33539,0.0031172,0.23206,0.00069951,0,29.705,3.644,0.0014,0.011942,16
0.12,0.52,3,static,0.12032,0.32919,0.003202,0.21886,0.00039984,0,28.562,3.3731,0.0008,0.0081467,15
0.12,0.53,3,static,0.11955,0.32365,0.0026618,0.20828,0.00039984,0,27.649,3.1663,0.0008,0.0072471,15
0.12,0.54,3,static,0.11969,0.3182,0.0031398,0.1982,0.00024994,0,26.76,2.972,0.0005,0.0052487,15
0.12,0.55,3,static,0.12028,0.3129,0.0032733,0.18753,0.00029991,0,25.914,2.7742,0.0006,0.0028991,15
0.12,0.56,3,static,0.12052,0.30638,0.0029599,0.17326,9.999e-05,0,24.904,2.5176,0.0002,0.0019998,14
0.12,0.57,3,static,0.12036,0.30104,0.0029279,0.1637,0,0,24.109,2.3505,0,0.0011,14
0.12,0.58,3,static,0.1207,0.29507,0.0029161,0.1524,0.00014998,0,23.285,2.1591,0.0003,0.0012998,14
0.12,0.59,3,static,0.12098,0.28865,0.0033985,0.14168,0,0,22.382,1.9815,0,0.00045,14
0.12,0.6,3,static,0.11947,0.28265,0.0028943,0.13252,9.999e-05,0,21.578,1.8338,0.0002,0.00049995,14
0.12,0.61,3,static,0.12014,0.27645,0.0030816,0.12189,0,0,20.755,1.6659,0,0.00025,13
0.12,0.62,3,static,0.119,0.26984,0.0026495,0.11211,4.9998e-05,0,19.919,1.5154,0.0001,0.00019999,13
0.12,0.63,3,static,0.1206,0.26512,0.0028993,0.1042,4.9998e-05,0,19.337,1.3959,0.0001,4.9998e-05,13
0.12,0.64,3,static,0.11872,0.25739,0.0029219,0.093959,0,0,18.43,1.2445,0,5e-05,13
0.12,0.65,3,static,0.11971,0.25062,0.0031163,0.085225,0,0,17.639,1.118,0,0,13
0.12,0.66,3,static,0.11987,0.24549,0.0028519,0.07846,0,0,17.079,1.0217,0,0,13
0.12,0.67,3,static,0.12,0.23963,0.0029748,0.071586,0,0,16.44,0.9253,0,0,13
